Bus_name,Bus_type,Start_time,End_time,Total_duration,Prices,Seats_Available,Ratings,Route_name,Route_link
APSRTC - 6392,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,21:50,04h 20m,INR 345,34 Seats available,"4.4
12",Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
APSRTC - 6284,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,21:30,03h 00m,INR 345,34 Seats available,"2.5
22",Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
APSRTC - 51606,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,23:20,04h 20m,INR 345,34 Seats available,"4.8
8",Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
APSRTC - 51136,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,00:20,04h 20m,INR 345,34 Seats available,"3.8
7",Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
SRS Travels,Scania Multi-Axle AC Semi Sleeper (2+2),18:15,21:35,03h 20m,INR 900,33 Seats available,"3.2
64",Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
Dwaraka Travels,Non AC Seater (2+2),23:50,05:00,05h 10m,INR 550,21 Seats available,"3.9
12",Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
Dwaraka Travels,AC Sleeper (2+1),23:55,05:30,05h 35m,INR 800,16 Seats available,"4.0
30",Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
K.R TOURS & TRAVELS,A/C Sleeper (2+1),23:57,06:45,06h 48m,INR 800,19 Seats available,New,Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
Vasavi travels,Non A/C Seater / Sleeper (2+1),23:59,05:50,05h 51m,INR 549,24 Seats available,3.8,Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
APSRTC - 3493,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:30,16:40,05h 10m,INR 344,33 Seats available,"4.8
6",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 35152,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:45,17:45,06h 00m,INR 344,34 Seats available,3.8,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 3477,INDRA(A.C. Seater),12:00,17:30,05h 30m,INR 416,35 Seats available,3.8,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 27135,METRO LUXURY A/C,12:00,15:50,03h 50m,INR 467,26 Seats available,"4.2
22",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 3274,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",12:15,17:15,05h 00m,INR 328,35 Seats available,3.8,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 2732,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:30,17:05,04h 35m,INR 342,33 Seats available,"4.4
4",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 3454,INDRA(A.C. Seater),13:00,17:45,04h 45m,INR 414,24 Seats available,"3.7
38",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 3094,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",13:15,18:15,05h 00m,INR 328,35 Seats available,3.8,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 2744,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:15,17:50,04h 35m,INR 342,32 Seats available,"4.4
20",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 2812,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",13:30,18:25,04h 55m,INR 328,35 Seats available,3.8,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 3266,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,19:00,05h 20m,INR 342,32 Seats available,3.8,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 9371,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),13:45,19:00,05h 15m,INR 528,40 Seats available,"4.2
38",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 27070,METRO LUXURY A/C,14:00,17:50,03h 50m,INR 467,26 Seats available,"3.7
40",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 3419,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,19:00,05h 00m,INR 342,33 Seats available,3.8,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 3048,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",14:00,18:45,04h 45m,INR 328,35 Seats available,"4.1
4",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
NueGo,Electric A/C Seater (2+2),10:30,15:30,05h 00m,189,20 Seats available,"4.2
16",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
NueGo,Electric A/C Seater (2+2),13:00,17:45,04h 45m,362,32 Seats available,3.5,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
NueGo,Electric A/C Seater/Sleeper (2+1),14:30,19:45,05h 15m,362,18 Seats available,"3.9
35",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
Zingbus Plus,A/C Sleeper (2+1),16:45,21:20,04h 35m,725,27 Seats available,"4.4
4",Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
Mahadevv travels,Non A/C Seater / Sleeper (2+1),17:00,22:00,05h 00m,664,25 Seats available,3.3,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
APSRTC - 50102,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",12:30,18:00,05h 30m,INR 330,35 Seats available,"3.6
22",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 50804,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,18:40,05h 40m,INR 353,32 Seats available,"3.2
31",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 6006,INDRA(A.C. Seater),13:15,18:15,05h 00m,INR 422,21 Seats available,"4.1
31",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 50191,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:15,19:30,05h 15m,INR 524,40 Seats available,"3.6
61",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 9488,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,21:25,05h 55m,INR 353,25 Seats available,"3.9
46",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 9256,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:45,21:00,05h 15m,INR 524,30 Seats available,"3.8
52",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 50144,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:45,23:00,05h 15m,INR 353,34 Seats available,"3.8
56",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 6018,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,00:15,05h 45m,INR 353,34 Seats available,"3.5
5",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 6010,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:15,02:30,05h 15m,INR 353,34 Seats available,"3.6
59",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 6240,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",22:15,04:00,05h 45m,INR 330,33 Seats available,"3.6
47",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 6073,INDRA(A.C. Seater),22:45,03:00,04h 15m,INR 422,32 Seats available,"3.5
37",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 6522,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",23:15,03:50,04h 35m,INR 330,26 Seats available,"3.9
10",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 6065,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:45,04:35,04h 50m,INR 353,21 Seats available,"3.5
81",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 9266,INDRA(A.C. Seater),23:55,04:40,04h 45m,INR 422,38 Seats available,"3.7
54",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
Abhishek Bus,Scania Multi-Axle AC Semi Sleeper (2+2),23:20,06:20,07h 00m,INR 499,19 Seats available,"4.6
8",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
PRL BUS,Non A/C Seater / Sleeper (2+1),23:30,06:00,06h 30m,INR 450,25 Seats available,"3.4
19",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
PRL BUS,Non A/C Seater / Sleeper (2+1),23:35,05:00,05h 25m,INR 450,26 Seats available,"4.3
42",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
Maheswari Travels,Non A/C Seater / Sleeper (2+1),23:40,05:40,06h 00m,INR 550,21 Seats available,"3.7
18",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
Maheswari Travels,Non A/C Seater / Sleeper (2+1),23:45,05:50,06h 05m,INR 550,14 Seats available,"3.2
14",Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
APSRTC - 5984,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:15,02:45,05h 30m,INR 467,30 Seats available,"3.2
20",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 4590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,02:45,05h 15m,INR 467,18 Seats available,3.9,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 4578,INDRA(A.C. Seater),22:00,02:44,04h 44m,INR 565,21 Seats available,"3.7
99",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 48020,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,03:09,04h 54m,INR 467,1 Seat available,"3.5
57",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 5997,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,03:42,05h 27m,INR 467,18 Seats available,"4.1
110",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 4584,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,03:19,05h 04m,INR 467,12 Seats available,"4.3
77",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 5944,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,03:58,05h 33m,INR 467,23 Seats available,"4.0
90",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 4588,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,03:49,05h 04m,INR 467,11 Seats available,"4.1
95",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 5969,INDRA(A.C. Seater),22:50,02:44,03h 54m,INR 565,23 Seats available,"3.6
110",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 5938,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:05,04:42,05h 37m,INR 435,12 Seats available,"3.9
44",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 5987,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,05:00,05h 30m,INR 435,14 Seats available,"4.0
53",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
JOSH BUS,Non A/C Seater / Sleeper (2+1),22:45,06:00,07h 15m,INR 560,3 Seats available,"4.5
89",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
Sri Krishna Travels,NON A/C Semi Sleeper / Sleeper (2+1),23:05,05:30,06h 25m,INR 700,20 Seats available,"4.3
112",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
Kaveri Travels,A/C Sleeper (2+1),22:55,05:00,06h 05m,INR 1000,12 Seats available,"3.7
107",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
Kamakshi Tours And Travels,A/C Seater / Sleeper (2+1),22:25,06:20,07h 55m,INR 650,16 Seats available,"3.9
71",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
JOSH BUS,Non A/C Seater / Sleeper (2+1),23:15,06:00,06h 45m,INR 560,9 Seats available,"4.4
42",Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
APSRTC - 52221,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:00,17:00,05h 00m,INR 340,37 Seats available,"4.2
23",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
APSRTC - 52222,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:30,17:30,05h 00m,INR 340,33 Seats available,"3.1
21",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
APSRTC - 52223,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,18:00,05h 00m,INR 340,38 Seats available,"4.3
33",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
APSRTC - 52224,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,19:00,05h 00m,INR 340,33 Seats available,"4.4
20",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
APSRTC - 52225,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,19:30,05h 00m,INR 340,36 Seats available,"4.6
43",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
IntrCity SmartBus,A/C Seater / Sleeper (2+1),17:35,23:35,06h 00m,INR 638,25 Seats available,"4.7
148",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
IntrCity SmartBus,AC Sleeper (2+1),18:20,00:20,06h 00m,INR 726,30 Seats available,"4.9
21",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
IntrCity SmartBus,A/C Sleeper (2+1),18:00,00:05,06h 05m,INR 399,21 Seats available,"4.5
23",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
Sugama Tourist,NON A/C Sleeper (2+1),22:45,03:00,04h 15m,INR 800,22 Seats available,"4.6
16",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:20,02:00,05h 40m,INR 484,28 Seats available,"4.9
10",Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
APSRTC - 2540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:30,17:15,05h 45m,INR 386,34 Seats available,4.0,Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 24265,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:00,17:30,05h 30m,INR 386,34 Seats available,"3.1
4",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 23567,INDRA(A.C. Seater),12:15,17:30,05h 15m,INR 467,23 Seats available,"3.5
43",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 3416,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:30,18:00,05h 30m,INR 386,34 Seats available,4.0,Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 23549,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,18:45,05h 45m,INR 386,34 Seats available,4.0,Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 2532,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,19:15,05h 45m,INR 386,34 Seats available,"3.1
5",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 24279,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:45,19:30,05h 45m,INR 386,34 Seats available,4.0,Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 3474,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,19:30,05h 30m,INR 386,34 Seats available,"2.8
5",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 2524,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,20:15,05h 45m,INR 386,34 Seats available,"4.5
5",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 3406,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,20:30,05h 30m,INR 386,34 Seats available,"4.3
13",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 2534,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,21:15,05h 45m,INR 386,34 Seats available,"4.7
10",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 23527,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:00,21:45,05h 45m,INR 386,34 Seats available,"4.6
8",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 3332,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,22:00,05h 30m,INR 386,34 Seats available,"3.5
5",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 24275,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:00,22:50,05h 50m,INR 386,29 Seats available,"4.4
7",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 3324,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,23:00,05h 30m,INR 386,31 Seats available,"1.9
6",Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
Navayuga Travels,A/C Sleeper (2+1),23:59,05:00,05h 01m,INR 890,18 Seats available,3.5,Amalapuram to Visakhapatnam,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
APSRTC - 3898,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:50,21:00,09h 10m,INR 661,27 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 3878,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:45,22:45,10h 00m,INR 661,31 Seats available,"2.6
4",Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 2795,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:50,22:05,09h 15m,INR 661,19 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 3940,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:10,22:50,09h 40m,INR 661,33 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 3698,INDRA(A.C. Seater),14:00,22:15,08h 15m,INR 800,30 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 9560,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,00:45,10h 45m,INR 661,33 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 5363,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:15,00:15,10h 00m,INR 661,33 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 35291,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:20,01:00,10h 40m,INR 661,33 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 4021,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:05,01:45,10h 40m,INR 661,33 Seats available,"4.0
4",Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 3816,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:25,01:55,10h 30m,INR 686,22 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 3671,INDRA(A.C. Seater),15:25,02:00,10h 35m,INR 800,38 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 5714,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:40,01:30,09h 50m,INR 661,33 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 3706,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:50,02:20,10h 30m,INR 661,33 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 4019,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:25,03:15,10h 50m,INR 661,26 Seats available,3.8,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 3669,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,03:15,10h 30m,INR 661,29 Seats available,"2.2
5",Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
TSRTC - 8919,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,06:00,09h 00m,INR 524,20 Seats available,3.6,Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
Sai Sri Krishna Travels,A/C Sleeper (2+1),23:00,06:30,07h 30m,INR 850,22 Seats available,"4.7
99",Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
Svkdt travels,A/C Sleeper (2+1),23:00,06:45,07h 45m,INR 890,21 Seats available,"4.2
352",Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:00,04:20,08h 20m,INR 701,21 Seats available,"4.5
65",Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
Rajesh Transports,NON A/C Sleeper (2+1),23:30,05:45,06h 15m,INR 1754,4 Seats available,"4.5
65",Vijayawada to Tirupati,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
APSRTC - 4482,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,02:55,04h 55m,INR 427,20 Seats available,"3.5
128",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4537,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:05,03:10,05h 05m,INR 427,15 Seats available,"4.3
33",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4553,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,03:25,05h 10m,INR 427,14 Seats available,"4.2
59",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4526,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:35,03:40,05h 05m,INR 427,3 Seats available,"3.8
31",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 5816,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:40,03:25,04h 45m,INR 435,16 Seats available,"3.6
58",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4532,STAR LINER(NON-AC SLEEPER 2+1),22:50,03:55,05h 05m,INR 553,3 Seats available,"4.1
137",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4447,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,03:40,04h 40m,INR 427,11 Seats available,"3.9
116",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4516,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:05,04:10,05h 05m,INR 427,17 Seats available,"3.9
89",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4557,INDRA(A.C. Seater),23:15,03:15,04h 00m,INR 516,8 Seats available,"3.0
178",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
APSRTC - 4530,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:35,04:40,05h 05m,INR 427,13 Seats available,"3.9
121",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
VSN Travels,A/C Sleeper (2+1),22:40,05:30,06h 50m,INR 700,15 Seats available,"4.0
121",Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
